id,key,value,type
368779976,highway,residential,regular
368779976,source,IBGE,regular
368779977,highway,residential,regular
368779978,highway,residential,regular
368779979,highway,residential,regular
368779980,highway,tertiary,regular
368779980,name,Avenida Dom Pedro I,regular
368779980,official_name,Avenida Dom Pedro Primeiro,regular
368779980,source,Yahoo hires,regular
368779981,highway,residential,regular
368779981,source,Yahoo hires,regular
368779982,highway,residential,regular
368779983,highway,residential,regular
368779983,source,Yahoo hires,regular
368779984,highway,residential,regular
368779984,name,Rua Alvina Cavalcante,regular
368779984,source,Yahoo hires,regular
368779985,highway,service,regular
368779985,service,alley,regular
368779986,highway,residential,regular
368779987,highway,residential,regular
368779988,highway,residential,regular
368779988,source,Yahoo hires,regular
368779989,highway,residential,regular
368779990,highway,unclassified,regular
368779990,name,Rua do Rio,regular
368779990,source,Yahoo hires,regular
368779991,highway,residential,regular
368779992,highway,residential,regular
368779993,highway,unclassified,regular
368779993,oneway,no,regular
368779993,surface,unpaved,regular
368779993,tracktype,grade2,regular
368779994,highway,residential,regular
368779994,source,Yahoo,regular
